number,season,episode,airdate,title,tvmaze link
1,1,1,22 Sep 94,"The One Where Monica Gets a Roommate","http://www.tvmaze.com/episodes/40646/friends-1x01-the-one-where-monica-gets-a-roommate"
2,1,2,29 Sep 94,"The One With the Sonogram at the End","http://www.tvmaze.com/episodes/40647/friends-1x02-the-one-with-the-sonogram-at-the-end"
3,1,3,06 Oct 94,"The One With the Thumb","http://www.tvmaze.com/episodes/40648/friends-1x03-the-one-with-the-thumb"
4,1,4,13 Oct 94,"The One With George Stephanopoulos","http://www.tvmaze.com/episodes/40649/friends-1x04-the-one-with-george-stephanopoulos"
5,1,5,20 Oct 94,"The One With the East German Laundry Detergent","http://www.tvmaze.com/episodes/40650/friends-1x05-the-one-with-the-east-german-laundry-detergent"
6,1,6,27 Oct 94,"The One With the Butt","http://www.tvmaze.com/episodes/40651/friends-1x06-the-one-with-the-butt"
7,1,7,03 Nov 94,"The One With the Blackout","http://www.tvmaze.com/episodes/40652/friends-1x07-the-one-with-the-blackout"
8,1,8,10 Nov 94,"The One Where Nana Dies Twice","http://www.tvmaze.com/episodes/40653/friends-1x08-the-one-where-nana-dies-twice"
9,1,9,17 Nov 94,"The One Where Underdog Gets Away","http://www.tvmaze.com/episodes/40654/friends-1x09-the-one-where-underdog-gets-away"
10,1,10,15 Dec 94,"The One With the Monkey","http://www.tvmaze.com/episodes/40655/friends-1x10-the-one-with-the-monkey"
11,1,11,05 Jan 95,"The One With Mrs. Bing","http://www.tvmaze.com/episodes/40656/friends-1x11-the-one-with-mrs-bing"
12,1,12,12 Jan 95,"The One With the Dozen Lasagnas","http://www.tvmaze.com/episodes/40657/friends-1x12-the-one-with-the-dozen-lasagnas"
13,1,13,19 Jan 95,"The One With the Boobies","http://www.tvmaze.com/episodes/40658/friends-1x13-the-one-with-the-boobies"
14,1,14,09 Feb 95,"The One With the Candy Hearts","http://www.tvmaze.com/episodes/40659/friends-1x14-the-one-with-the-candy-hearts"
15,1,15,16 Feb 95,"The One With the Stoned Guy","http://www.tvmaze.com/episodes/40660/friends-1x15-the-one-with-the-stoned-guy"
16,1,16,23 Feb 95,"The One With Two Parts (1)","http://www.tvmaze.com/episodes/40661/friends-1x16-the-one-with-two-parts-1"
17,1,17,23 Feb 95,"The One With Two Parts (2)","http://www.tvmaze.com/episodes/40662/friends-1x17-the-one-with-two-parts-2"
18,1,18,02 Mar 95,"The One With All the Poker","http://www.tvmaze.com/episodes/40663/friends-1x18-the-one-with-all-the-poker"
19,1,19,09 Mar 95,"The One Where the Monkey Gets Away","http://www.tvmaze.com/episodes/40664/friends-1x19-the-one-where-the-monkey-gets-away"
20,1,20,06 Apr 95,"The One With the Evil Orthodontist","http://www.tvmaze.com/episodes/40665/friends-1x20-the-one-with-the-evil-orthodontist"
21,1,21,27 Apr 95,"The One With the Fake Monica","http://www.tvmaze.com/episodes/40666/friends-1x21-the-one-with-the-fake-monica"
22,1,22,04 May 95,"The One With the Ick Factor","http://www.tvmaze.com/episodes/40667/friends-1x22-the-one-with-the-ick-factor"
23,1,23,11 May 95,"The One With the Birth","http://www.tvmaze.com/episodes/40668/friends-1x23-the-one-with-the-birth"
24,1,24,18 May 95,"The One Where Rachel Finds Out","http://www.tvmaze.com/episodes/40669/friends-1x24-the-one-where-rachel-finds-out"
25,2,1,21 Sep 95,"The One With Ross's New Girlfriend","http://www.tvmaze.com/episodes/40670/friends-2x01-the-one-with-rosss-new-girlfriend"
26,2,2,28 Sep 95,"The One With the Breast Milk","http://www.tvmaze.com/episodes/40671/friends-2x02-the-one-with-the-breast-milk"
27,2,3,05 Oct 95,"The One Where Heckles Dies","http://www.tvmaze.com/episodes/40672/friends-2x03-the-one-where-heckles-dies"
28,2,4,12 Oct 95,"The One With Phoebe's Husband","http://www.tvmaze.com/episodes/40673/friends-2x04-the-one-with-phoebes-husband"
29,2,5,19 Oct 95,"The One With Five Steaks and an Eggplant","http://www.tvmaze.com/episodes/40674/friends-2x05-the-one-with-five-steaks-and-an-eggplant"
30,2,6,02 Nov 95,"The One With the Baby on the Bus","http://www.tvmaze.com/episodes/40675/friends-2x06-the-one-with-the-baby-on-the-bus"
31,2,7,09 Nov 95,"The One Where Ross Finds Out","http://www.tvmaze.com/episodes/40676/friends-2x07-the-one-where-ross-finds-out"
32,2,8,16 Nov 95,"The One With the List","http://www.tvmaze.com/episodes/40677/friends-2x08-the-one-with-the-list"
33,2,9,14 Dec 95,"The One With Phoebe's Dad","http://www.tvmaze.com/episodes/40678/friends-2x09-the-one-with-phoebes-dad"
34,2,10,04 Jan 96,"The One With Russ","http://www.tvmaze.com/episodes/40679/friends-2x10-the-one-with-russ"
35,2,11,18 Jan 96,"The One With the Lesbian Wedding","http://www.tvmaze.com/episodes/40680/friends-2x11-the-one-with-the-lesbian-wedding"
36,2,12,28 Jan 96,"The One After the Superbowl (1)","http://www.tvmaze.com/episodes/40681/friends-2x12-the-one-after-the-superbowl-1"
37,2,13,28 Jan 96,"The One After the Superbowl (2)","http://www.tvmaze.com/episodes/40682/friends-2x13-the-one-after-the-superbowl-2"
38,2,14,01 Feb 96,"The One With the Prom Video","http://www.tvmaze.com/episodes/40683/friends-2x14-the-one-with-the-prom-video"
39,2,15,08 Feb 96,"The One Where Ross and Rachel... You Know","http://www.tvmaze.com/episodes/40684/friends-2x15-the-one-where-ross-and-rachel-you-know"
40,2,16,15 Feb 96,"The One Where Joey Moves Out","http://www.tvmaze.com/episodes/40685/friends-2x16-the-one-where-joey-moves-out"
41,2,17,22 Feb 96,"The One Where Eddie Moves In","http://www.tvmaze.com/episodes/40686/friends-2x17-the-one-where-eddie-moves-in"
42,2,18,21 Mar 96,"The One Where Dr. Ramoray Dies","http://www.tvmaze.com/episodes/40687/friends-2x18-the-one-where-dr-ramoray-dies"
43,2,19,28 Mar 96,"The One Where Eddie Won't Go","http://www.tvmaze.com/episodes/40688/friends-2x19-the-one-where-eddie-wont-go"
44,2,20,04 Apr 96,"The One Where Old Yeller Dies","http://www.tvmaze.com/episodes/40689/friends-2x20-the-one-where-old-yeller-dies"
45,2,21,25 Apr 96,"The One With the Bullies","http://www.tvmaze.com/episodes/40690/friends-2x21-the-one-with-the-bullies"
46,2,22,02 May 96,"The One With the Two Parties","http://www.tvmaze.com/episodes/40691/friends-2x22-the-one-with-the-two-parties"
47,2,23,09 May 96,"The One With the Chicken Pox","http://www.tvmaze.com/episodes/40692/friends-2x23-the-one-with-the-chicken-pox"
48,2,24,16 May 96,"The One With Barry and Mindy's Wedding","http://www.tvmaze.com/episodes/40693/friends-2x24-the-one-with-barry-and-mindys-wedding"
49,3,1,16 Sep 96,"The One With the Princess Leia Fantasy","http://www.tvmaze.com/episodes/40694/friends-3x01-the-one-with-the-princess-leia-fantasy"
50,3,2,26 Sep 96,"The One Where No One's Ready","http://www.tvmaze.com/episodes/40695/friends-3x02-the-one-where-no-ones-ready"
51,3,3,03 Oct 96,"The One With the Jam","http://www.tvmaze.com/episodes/40696/friends-3x03-the-one-with-the-jam"
52,3,4,10 Oct 96,"The One With the Metaphorical Tunnel","http://www.tvmaze.com/episodes/40697/friends-3x04-the-one-with-the-metaphorical-tunnel"
53,3,5,17 Oct 96,"The One With Frank Jr.","http://www.tvmaze.com/episodes/40698/friends-3x05-the-one-with-frank-jr"
54,3,6,31 Oct 96,"The One With the Flashback","http://www.tvmaze.com/episodes/40699/friends-3x06-the-one-with-the-flashback"
55,3,7,07 Nov 96,"The One With the Race Car Bed","http://www.tvmaze.com/episodes/40700/friends-3x07-the-one-with-the-race-car-bed"
56,3,8,14 Nov 96,"The One With the Giant Poking Device","http://www.tvmaze.com/episodes/40701/friends-3x08-the-one-with-the-giant-poking-device"
57,3,9,21 Nov 96,"The One With the Football","http://www.tvmaze.com/episodes/40702/friends-3x09-the-one-with-the-football"
58,3,10,12 Dec 96,"The One Where Rachel Quits","http://www.tvmaze.com/episodes/40703/friends-3x10-the-one-where-rachel-quits"
59,3,11,09 Jan 97,"The One Where Chandler Can't Remember Which Sister","http://www.tvmaze.com/episodes/40704/friends-3x11-the-one-where-chandler-cant-remember-which-sister"
60,3,12,16 Jan 97,"The One With All the Jealousy","http://www.tvmaze.com/episodes/40705/friends-3x12-the-one-with-all-the-jealousy"
61,3,13,30 Jan 97,"The One Where Monica and Richard are Just Friends","http://www.tvmaze.com/episodes/40706/friends-3x13-the-one-where-monica-and-richard-are-just-friends"
62,3,14,06 Feb 97,"The One With Phoebe's Ex-Partner","http://www.tvmaze.com/episodes/40707/friends-3x14-the-one-with-phoebes-ex-partner"
63,3,15,13 Feb 97,"The One Where Ross and Rachel Take a Break","http://www.tvmaze.com/episodes/40708/friends-3x15-the-one-where-ross-and-rachel-take-a-break"
64,3,16,20 Feb 97,"The One the Morning After","http://www.tvmaze.com/episodes/40709/friends-3x16-the-one-the-morning-after"
65,3,17,06 Mar 97,"The One Without the Ski Trip","http://www.tvmaze.com/episodes/40710/friends-3x17-the-one-without-the-ski-trip"
66,3,18,13 Mar 97,"The One With the Hypnosis Tape","http://www.tvmaze.com/episodes/40711/friends-3x18-the-one-with-the-hypnosis-tape"
67,3,19,27 Mar 97,"The One With the Tiny T-Shirt","http://www.tvmaze.com/episodes/40712/friends-3x19-the-one-with-the-tiny-t-shirt"
68,3,20,10 Apr 97,"The One With the Dollhouse","http://www.tvmaze.com/episodes/40713/friends-3x20-the-one-with-the-dollhouse"
69,3,21,17 Apr 97,"The One With a Chick and a Duck","http://www.tvmaze.com/episodes/40714/friends-3x21-the-one-with-a-chick-and-a-duck"
70,3,22,24 Apr 97,"The One With the Screamer","http://www.tvmaze.com/episodes/40715/friends-3x22-the-one-with-the-screamer"
71,3,23,01 May 97,"The One With Ross's Thing","http://www.tvmaze.com/episodes/40716/friends-3x23-the-one-with-rosss-thing"
